מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מספר סידורי,"יישובים המונים 2,000 תושבים ויותר, אזורים סטטיסטיים (ביישובים המחולקים לאזורים סטטיסטיים)",רובע,תת-רובע,אזור סטטיסטי,סמל יישוב,שנת ייסוד,סמל מחוז,מחוז,סמל נפה,נפה,סמל אזור טבעי,אזור טבעי,סמל מטרופולין,מטרופולין,סמל צורת יישוב,צורת יישוב,סמל מעמד מוניציפלי,מעמד מוניציפלי,"שטח היישוב (קמ""ר)",אוכלוסייה – סך הכל (אלפים),זכרים – סך הכל (אלפים),נקבות – סך הכל (אלפים),"צפיפות אוכלוסייה (לקמ""ר)",סמל דת עיקרית,דת עיקרית,אחוז דת עיקרית ,אחוז דיירי המוסדות ,אחוז בני  17-0 ,אחוז בני  64-18  ,אחוז בני  65+ ,אחוז זכרים בני 17-0 ,אחוז זכרים בני 64-18  ,אחוז זכרים בני 65+ ,אחוז נקבות בנות 17-0  ,אחוז נקבות בנות 64-18 ,אחוז נקבות בנות 65+ ,יחס תלות לאלף,גיל חציוני,גיל חציוני – זכרים,גיל חציוני – נקבות,אחוז נשואים בני 15 ומעלה ,אחוז לא-נשואים בני 15 ומעלה  ,אחוז גברים נשואים בני 15 ומעלה  ,אחוז גברים לא-נשואים בני 15 ומעלה  ,אחוז נשים נשואות בנות 15 ומעלה   ,אחוז נשים לא-נשואות בנות 15 ומעלה  ,אחוז יהודים ילידי ישראל  ,"אחוז יהודים ילידי חו""ל  ","אחוז יהודים ילידי חו""ל שעלו עד שנת 1960   ","אחוז יהודים ילידי חו""ל שעלו בשנים 1989-1961   ","אחוז יהודים ילידי חו""ל שעלו בשנים 2001-1990   ","אחוז יהודים ילידי חו""ל שעלו משנת 2002 ואילך  ",אחוז יהודים שמוצאם ישראל  ,אחוז יהודים מיבשת מוצא אסיה  ,אחוז יהודים מיבשת מוצא אפריקה  ,אחוז יהודים מיבשת מוצא אירופה  ,אחוז יהודים מיבשות מוצא אמריקה ואוקיאניה  
order,LocNameHeb,Quarter,SubQuarter,StatAreaCmb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,LocArea,pop_thou,men_thou,women_thou,pop_density,religion,ReligionHeb,religion_pcnt,inst_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt
1,כלל ארצי,,,,,,,,,,,,,,,,,,,7412.2,3663.9,3748.3,,1,יהודים,75.6,,32.6,57.6,9.8,33.8,57.6,8.5,31.4,57.5,11.0,837.6,29.0,28.0,30.0,55.3,44.7,56.5,43.5,54.2,45.8,70.9,29.1,27.4,26.0,40.1,6.6,37.4,12.5,15.8,29.8,4.4
2,אבו גוש,,,,472,,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,280,"יישוב לא יהודי 9,999-5,000 תושבים",99,מועצה מקומית,1.9,5.8,2.9,2.9,3094.5,2,מוסלמים,99.3,0.1,39.9,55.9,4.2,40.0,55.9,4.0,39.7,55.9,4.4,919.8,23.0,23.0,24.0,60.2,39.8,60.3,39.7,60.1,39.9,,,,,,,,,,,
3,אבו סנאן,,,,473,,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,6.7,12.2,6.2,6.0,1818.1,2,מוסלמים,53.2,,39.1,56.3,4.6,40.3,55.3,4.4,37.9,57.3,4.8,909.2,24.0,23.0,24.0,60.8,39.2,60.2,39.8,61.3,38.7,,,,,,,,,,,
4,אבו סנאן,,,1,473,,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.9,2.0,1.9,,5,דרוזים,75.7,,37.5,57.1,5.4,38.9,56.2,4.9,36.2,58.1,5.8,882.7,24.0,24.0,24.0,58.7,41.3,58.1,41.9,59.2,40.8,,,,,,,,,,,
5,אבו סנאן,,,2,473,,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.8,1.9,1.9,,2,מוסלמים,64.3,,37.0,57.7,5.4,37.9,57.1,5.1,36.0,58.3,5.7,853.5,25.0,25.0,26.0,60.9,39.1,60.3,39.7,61.6,38.4,,,,,,,,,,,
6,אבו סנאן,,,3,473,,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.5,2.3,2.2,,2,מוסלמים,85.6,,42.3,54.4,3.3,43.5,53.1,3.4,41.0,55.7,3.3,983.0,22.0,21.0,22.0,62.5,37.5,62.0,38.0,62.9,37.1,,,,,,,,,,,
7,אבטין,,,,652,,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",290,"יישוב לא יהודי 4,999-2,000 תושבים",12,מועצה אזורית זבולון,,2.4,1.2,1.2,,2,מוסלמים,99.3,,44.9,51.3,3.8,45.7,50.8,3.4,44.1,51.7,4.2,1141.3,20.0,19.0,20.0,56.5,43.5,56.3,43.7,56.6,43.4,,,,,,,,,,,
8,אבן יהודה,,,,182,1932,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",170,"יישוב יהודי 19,999-10,000 תושבים",99,מועצה מקומית,8.4,10.0,4.9,5.1,1195.7,1,יהודים,98.6,5.7,30.5,60.8,8.7,30.8,61.4,7.7,30.1,60.2,9.6,734.9,32.0,31.0,32.0,57.4,42.6,58.8,41.2,56.0,44.0,83.3,16.7,51.0,29.7,14.9,4.4,46.4,14.4,9.7,25.9,3.6
