LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_thou,men_thou,women_thou,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
אביאל,679,1949,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,310,מושב,45,מועצה אזורית אלונה,0.6,0.3,0.3,1,יהודים,99.3,31.8,63.2,5,33.7,62,4.3,30,64.4,5.7,630.1,30,30,31,56.1,43.9,56.1,43.9,56.2,43.8,89.2,10.8,53.7,21.5,15.9,8.9,53.3,8.3,8.3,26.4,3.7,501
אביגדור,819,1950,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,0.7,0.3,0.3,1,יהודים,99.6,29.1,61.9,9,28.3,65.1,6.6,29.9,58.7,11.4,709,31,31,32,59.6,40.4,58.1,41.9,61.2,38.8,88.5,11.5,61.7,25,9.6,3.7,52.2,8.6,9.9,25.7,3.6,501
אביחיל,175,1932,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,1.2,0.6,0.6,1,יהודים,99.2,29.6,59.7,10.7,30.1,59.9,10,29.1,59.6,11.4,746.5,34,34,34,62.3,37.7,65,35,59.8,40.2,86.7,13.3,35,41.3,20.4,3.3,51.5,6.5,9.1,26.7,6.3,501
אביעזר,1070,1958,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,0.5,0.3,0.3,1,יהודים,99.6,36.5,58.8,4.7,33.8,62.3,3.9,39.1,55.4,5.5,784.1,29,29,29,60.3,39.7,60.5,39.5,60,40,76.9,23.1,40.2,9.2,46.5,4.1,41.3,35.1,6.4,14.2,2.9,501
אבן ספיר,783,1950,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,0.6,0.3,0.3,1,יהודים,97.2,27.2,65.4,7.4,29.5,64.6,5.8,24.5,66.2,9.2,575.7,32,30,34,53.5,46.5,49.7,50.3,57.6,42.4,82.9,17.1,68.3,13.1,16.4,2.2,43.8,31.1,17.2,5,2.9,501
אבן שמואל,400,1956,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,34,מועצה אזורית שפיר,0.8,0.2,0.6,1,יהודים,99.1,55.2,42.1,2.8,36.5,56.9,6.6,62.9,35.9,1.2,1889.1,17,27,17,36.3,63.7,66.8,33.2,24.9,75.1,87.3,12.7,49.6,30.8,7.4,12.2,52.9,10.6,28.7,4.7,3.2,501
אבני חפץ,3793,1990,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,1.3,0.7,0.6,1,יהודים,100,61,38.4,0.6,62.2,37.2,0.6,59.9,39.6,0.5,1706.9,12,11,13,82.9,17.1,85.3,14.7,80.7,19.3,89.4,10.6,3,36.1,21.3,39.6,58,9.8,12.9,13.7,5.6,501
אדרת,1123,1961,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,0.6,0.3,0.3,1,יהודים,100,41.2,53.5,5.3,41.6,54.3,4.1,40.7,52.7,6.7,1132.4,21,20,24,57.4,42.6,55.7,44.3,59.2,40.8,78.4,21.6,2.4,72.3,17.8,7.5,35.2,3.1,44.4,7.7,9.6,501
אודים,446,1948,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,19,מועצה אזורית חוף השרון,1.1,0.6,0.5,1,יהודים,98.5,26.2,66.4,7.4,28.7,65.1,6.3,23.5,67.9,8.6,546.1,32,31,33,58.6,41.4,56.2,43.8,61.1,38.9,87.7,12.3,43.2,38.2,16.2,2.3,53,7.1,10.2,24.3,5.4,501
אום אל-קוטוף,2024,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,14,מועצה אזורית מנשה,0.9,0.5,0.4,2,מוסלמים,100,44.5,52.8,2.7,43.8,53.9,2.3,45.4,51.6,3,1016.8,21,21,20,61.1,38.9,57.1,42.9,65.7,34.3,,,,,,,,,,,,501
אומץ,680,1949,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,0.6,0.3,0.3,1,יהודים,98.2,36.9,56.4,6.6,36.6,57.2,6.2,37.3,55.7,7.1,875.2,30,30,31,62,38,58.8,41.2,65.5,34.5,87.1,12.9,72.1,14.6,11.4,1.9,52.5,4.6,9.7,29.9,3.3,501
