LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_hun,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
אבטליון,1275,1987,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,3.1,1,יהודים,99,47.5,52.2,0.3,45.7,53.6,0.7,49.3,50.7,,1063.3,19,19,19,62.3,37.7,63.5,36.5,61.2,38.8,88.6,11.4,12.3,48.6,27.1,12,59.3,7,6.6,13.4,13.7,500
אביבים,1115,1960,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,4.6,1,יהודים,100,38.5,54.4,7.1,36.3,57.4,6.2,40.6,51.4,8,937,25,27,24,66.2,33.8,65.3,34.7,67.1,32.9,78.1,21.9,7.1,92,0.9,,37,1.8,59.8,0.8,0.6,500
אביטל,2052,1953,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,4.6,1,יהודים,98.8,32.1,58.2,9.7,31.9,59.2,9,32.3,57.2,10.5,813,30,30,30,66.7,33.3,63.6,36.4,70.1,29.9,78,22,84.3,11.1,0.8,3.8,41.1,49.7,6.2,1.9,1,500
אבירים,1220,1980,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,370,יישוב קהילתי,52,מועצה אזורית מעלה יוסף,1.9,1,יהודים,97.2,35.4,64.1,0.5,33.7,66.3,,37,62,0.9,652.1,24,24,24,46.5,53.5,48.1,51.9,45,55,90.1,9.9,20.2,44.5,35.2,,56.4,5.2,2.5,22.1,13.8,500
אבן מנחם,1081,1960,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,2.5,1,יהודים,100,27.8,58,14.2,32,56.8,11.2,23.1,59.3,17.6,863.1,36,31,41,53.6,46.4,54.7,45.3,52.6,47.4,73.6,26.4,77.6,18.7,3.7,,34.5,10.4,51.1,2.8,1.3,500
אבני איתן,4011,1978,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,310,מושב,71,מועצה אזורית גולן,4.1,1,יהודים,100,42.9,57.1,,37,63,,48,52,,828.9,22,25,19,63.2,36.8,65.5,34.5,61.1,38.9,88.9,11.1,20.4,42.9,18.6,18.2,58.5,6.2,9.4,16.7,9.2,500
אבשלום,1311,1990,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",350,יישוב כפרי אחר יהודי,38,מועצה אזורית אשכול,1.4,1,יהודים,67.3,14.2,67.8,18,13,73.6,13.4,15.2,63.1,21.8,565.2,47,46,49,53.6,46.4,59.5,40.5,48.7,51.3,17,83,2.7,4,90.6,2.7,8.5,1.1,4.5,84.8,1.1,500
אדורה,3759,1984,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,78,מועצה אזורית הר חברון,2.5,1,יהודים,98.4,39.5,58.6,2,40.5,57.2,2.3,38.3,60.1,1.6,775.9,24,25,24,63.5,36.5,60.8,39.2,66.4,33.6,84.5,15.5,23.2,41.4,30.6,4.7,50.9,7.5,22.3,15.7,3.6,500
אדירים,113,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,2.3,1,יהודים,100,29.4,55.7,14.9,32.1,54.6,13.4,26.3,57,16.8,865,35,34,35,62,38,58.1,41.9,66.7,33.3,72.1,27.9,56.2,39.8,2.6,1.4,31.3,2.1,65.5,0.7,0.4,500
אדמית,1068,1958,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,1.6,1,יהודים,61.8,21.6,71.3,7.1,25.1,66.6,8.3,17.8,76.5,5.7,457.3,36,36,35,50.1,49.9,48.7,51.3,51.6,48.4,62.8,37.2,2.4,32.4,51.1,14.1,24.7,1.5,5.3,33.8,34.7,500
