,Unnamed: 0,place,Latitude,Longitude
0,0,אוהד,31.23729,34.43197
1,1,אורות,31.74148,34.73573
2,2,ברוש,31.37048,34.63159
3,3,מעגלים,31.39683,34.59888
4,4,מפעלי מעון,,
5,5,אבשלום,31.19688,34.33561
6,6,אלומה,31.65367,34.74526
7,7,מעלה שביט,,
8,8,יונתן,32.93626,35.7939
9,9,זוהר,31.59521,34.6927
10,10,שחר,31.62042,34.7288
11,11,הוזייל,,
12,12,חסכה,,
13,13,אפרתה,31.66127,35.1555
14,14,תעמרה,,
15,15,ג'וב א רום,31.24936,34.79004
16,16,ואדי אל עראיס,,
17,17,מיניה,,
18,18,שלווה,,
19,19,אייל,32.21091,34.97856
20,20,"מרכז קניות ביל""ו",31.9303,34.79663
21,21,עוקבי,,
22,22,יפתח,33.12725,35.55099
23,23,א שייח' אחמד,,
24,24,ג'ילג'יליא,,
25,25,מזאריע א נובאני,,
26,26,בורהאם,,
27,27,ג'מאלא,,
28,28,אבו שח'ידם,31.96461,35.17217
29,29,מתתיהו,31.92947,35.03175
30,30,אל מחד'י צפונית לדימונה,,
31,31,אל קשכר,,
32,32,עזאזמה,,
33,33,נמרוד,33.24533,35.75172
34,34,נועימה,,
35,35,נועימה מחנה פליטים,,
36,36,"נח""ל אלישע",31.91113,35.47793
37,37,גלעד,32.55651,35.07676
38,38,זמר,32.36316,35.03426
39,39,יואב,31.6455,34.67839
40,40,חבל שלוןם,,
41,41,חבל שלום,31.19733,34.8392
42,42,אספקת אש,,
43,43,''ש,,
44,44,ש,,
45,45,נשמעו 3 פיצוצים,,
46,46,רנר,,
47,47,ארי,,
48,48,חלוצית,,
49,49,רון אנקרי: בבאר שבע,,
50,50,אלומים,32.72075,35.14397
