,OFFENSE_DESCRIPTION,OCCURRED_ON_DATE,YEAR,MONTH,Lat,Long,newLat,newLon
0,DISTURBING THE PEACE,2018-10-03 20:13:00,2018,10,42.26260773,-71.12118637,31.7674705454736,34.541906093366876
1,PROPERTY - LOST,2018-08-30 20:00:00,2018,8,42.35211146,-71.13531147,30.80512482087202,34.358956616793236
2,THREATS TO DO BODILY HARM,2018-10-03 19:20:00,2018,10,42.30812619,-71.07692974,31.212941388232558,34.41464747338397
3,ASSAULT - AGGRAVATED - BATTERY,2018-10-03 20:00:00,2018,10,42.35945371,-71.05964817,30.97232645954821,34.878192179966945
4,AIRCRAFT INCIDENTS,2018-10-03 20:49:00,2018,10,42.37525782,-71.02466343,30.772184456084027,34.725792816888
5,VANDALISM,2018-10-02 20:40:00,2018,10,42.29919694,-71.06046974,31.397885343183795,34.81947852245582
6,M/V ACCIDENT - PERSONAL INJURY,2018-10-03 20:16:00,2018,10,42.32073413,-71.05676415,31.236503804884503,34.834982396830696
7,VERBAL DISPUTE,2018-10-03 19:32:00,2018,10,42.33380683,-71.10377843,31.518085441394433,34.904794614262315
8,ASSAULT SIMPLE - BATTERY,2018-10-03 19:27:51,2018,10,42.25614494,-71.12802506,31.885602024910376,34.643969663732975
9,TOWED MOTOR VEHICLE,2018-10-03 20:00:00,2018,10,42.348866,-71.08936284,31.0144120753185,34.55917641354875
10,M/V ACCIDENT - PERSONAL INJURY,2018-10-03 19:33:00,2018,10,42.34432328,-71.15778368,31.411181615185782,34.524633707379515
11,AUTO THEFT - MOTORCYCLE / SCOOTER,2018-10-01 20:00:00,2018,10,42.32324363,-71.10892316,31.648829402555265,34.353086893281365
12,SICK/INJURED/MEDICAL - PERSON,2018-10-03 17:18:00,2018,10,42.26059891,-71.1030614,31.570222329282505,34.4004652150331
13,INVESTIGATE PERSON,2018-10-03 08:00:00,2018,10,42.27986526,-71.08798275,31.402091314928658,34.92167719677186
14,SICK/INJURED/MEDICAL - PERSON,2018-10-03 19:58:30,2018,10,42.27791927,-71.0964061,31.88611508838331,34.46798746715886
15,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-03 19:30:00,2018,10,42.31596119,-71.09042564,30.62805450467561,34.87970012213504
16,THREATS TO DO BODILY HARM,2018-10-03 18:35:00,2018,10,42.28076737,-71.04736497,30.7264664936016,34.34889277043931
17,THREATS TO DO BODILY HARM,2018-10-03 19:56:00,2018,10,42.31277782,-71.07562922,31.551548599977075,34.36032808740644
18,INVESTIGATE PERSON,2018-10-03 18:41:00,2018,10,42.34268073,-71.09937714,30.809953317544803,34.81747753500092
19,"FIRE REPORT - HOUSE, BUILDING, ETC.",2018-10-03 18:18:00,2018,10,42.30998781,-71.06213111,31.69706192231871,34.93359228651898
20,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-02 20:00:00,2018,10,42.33001489,-71.03851306,31.230984246208557,34.76645474795122
21,LARCENY SHOPLIFTING,2018-10-03 19:09:00,2018,10,42.3479724,-71.07849582,31.656280889301446,34.45956363233989
22,INVESTIGATE PROPERTY,2018-10-03 18:24:00,2018,10,42.32527567,-71.08351579,30.646613549254045,34.4798167559339
23,VERBAL DISPUTE,2018-10-03 18:53:00,2018,10,42.32579408,-71.08563758,31.301152507860824,34.90440518988612
24,LARCENY ALL OTHERS,2018-10-03 18:53:00,2018,10,42.32579408,-71.08563758,30.816615802525643,34.85567695270701
25,HARASSMENT,2017-08-31 00:00:00,2017,8,42.31779354,-71.04210959,31.627958013856137,34.72606196609074
26,ROBBERY - COMMERCIAL,2018-10-03 19:05:00,2018,10,42.34952402,-71.07949284,31.846445069738987,34.92429400616266
27,"DRUGS - POSS CLASS A - HEROIN, ETC. ",2018-10-03 17:30:00,2018,10,42.31694189,-71.10394558,30.96814119029695,34.82149177352118
28,INVESTIGATE PERSON,2018-05-12 00:00:00,2018,5,42.34285014,-71.06516235,31.202226879962264,34.305933149986274
29,SICK/INJURED/MEDICAL - PERSON,2018-10-03 19:19:00,2018,10,42.35321122,-71.14841124,31.407115171134308,34.59420786804829
30,SICK/INJURED/MEDICAL - PERSON,2018-10-03 18:49:00,2018,10,42.36570319,-71.05580301,30.894862902343753,34.575759761004676
31,THREATS TO DO BODILY HARM,2018-10-03 18:46:00,2018,10,42.38305542,-71.02117632,30.62872564328393,34.94608677479599
32,ASSAULT SIMPLE - BATTERY,2018-10-03 18:07:00,2018,10,42.31915678,-71.10067583,31.544805169980002,34.5320803485556
33,VAL - VIOLATION OF AUTO LAW - OTHER,2018-10-03 19:05:00,2018,10,42.31041438,-71.05918086,31.510716551321785,34.5409199466571
34,VAL - OPERATING WITHOUT LICENSE,2018-10-03 19:05:00,2018,10,42.31041438,-71.05918086,31.086844131514997,34.853365694206104
35,VANDALISM,2018-09-30 00:00:00,2018,9,42.27234506,-71.06871774,31.309987921308867,34.86731675180024
36,LIQUOR - DRINKING IN PUBLIC,2018-10-03 19:18:00,2018,10,42.32855807,-71.079276,30.950101081402995,34.61728056126614
37,VANDALISM,2018-10-02 22:00:00,2018,10,42.33201285,-71.09598982,30.901301993876427,34.86019637183102
38,VANDALISM,2018-10-03 15:25:00,2018,10,42.3036967,-71.07104897,31.272376311289843,34.60544970277583
39,INVESTIGATE PROPERTY,2018-10-03 19:03:00,2018,10,42.25621592,-71.12401947,31.642748515559013,34.6351347921343
40,INVESTIGATE PROPERTY,2018-10-03 19:02:00,2018,10,42.25621592,-71.12401947,31.19218299434349,34.59677872221747
41,FRAUD - IMPERSONATION,2018-10-03 19:01:00,2018,10,42.29384269,-71.07609427,31.802841164433378,34.73960381179791
42,INVESTIGATE PROPERTY,2018-10-03 17:30:00,2018,10,42.35009599,-71.0773211,31.171377348590397,34.38348558314172
43,LIQUOR - DRINKING IN PUBLIC,2018-10-03 15:07:00,2018,10,-1.0,-1.0,31.01924618492125,34.40293401145856
44,"DRUGS - POSS CLASS B - COCAINE, ETC.",2018-10-03 18:55:00,2018,10,42.32784724,-71.0793868,31.283363219564464,34.936134242164215
45,AUTO THEFT,2018-10-03 07:00:00,2018,10,42.32066147,-71.07067867,31.105326938646886,34.541619151453766
46,AUTO THEFT,2018-10-02 22:30:00,2018,10,42.27160123,-71.0621148,30.920734392882686,34.449001573033094
47,LARCENY SHOPLIFTING,2018-10-03 17:45:00,2018,10,42.336112,-71.04665434,31.230056982854194,34.73593312103614
48,VERBAL DISPUTE,2018-10-03 17:56:00,2018,10,42.32910801,-71.06879344,31.065672127630673,34.892888555275015
49,INVESTIGATE PERSON,2018-10-03 13:25:00,2018,10,42.34916815,-71.08079724,31.423468343790987,34.821956432977906
50,WARRANT ARREST,2018-10-03 17:55:00,2018,10,42.3297427,-71.05826343,31.981953796665024,34.99774607914898
51,VANDALISM,2018-10-03 17:33:00,2018,10,42.32832264,-71.07861091,31.681390298323585,34.76797441347515
52,PROPERTY - LOST,2018-10-01 07:00:00,2018,10,42.27308641,-71.080129,30.953388235534668,34.785252842004866
53,ASSAULT SIMPLE - BATTERY,2018-10-03 17:11:00,2018,10,42.33455374,-71.07560801,30.98913434499866,34.80815049586833
54,LARCENY ALL OTHERS,2018-10-03 16:49:00,2018,10,42.36110964,-71.06741369,31.064729734255017,34.78345615971185
55,AUTO THEFT,2018-10-02 11:00:00,2018,10,42.34116632,-71.07537694,31.149172446008752,34.89343470332554
56,LARCENY THEFT FROM BUILDING,2018-09-25 11:00:00,2018,9,42.33191971,-71.05210788,31.09375889690147,34.937776337434784
57,INVESTIGATE PERSON,2018-10-03 15:35:00,2018,10,42.37765672,-71.06717749,31.789569824963145,34.84393658562633
58,INVESTIGATE PERSON,2018-10-03 16:54:00,2018,10,42.28881222,-71.08513152,31.10608220589089,34.296167093816706
59,AUTO THEFT,2018-10-02 20:00:00,2018,10,42.31432112,-71.07900586,31.456091000908604,34.60719917830643
60,LARCENY THEFT OF BICYCLE,2018-10-03 16:30:00,2018,10,42.35895455,-71.05035005,31.274390650374364,34.64442189108928
61,INVESTIGATE PERSON,2018-10-03 15:26:00,2018,10,42.31161123,-71.076256,30.89730992655826,34.32824594436183
62,WARRANT ARREST,2018-10-03 17:36:00,2018,10,42.37081805,-71.03929078,31.69100939432927,34.44550861731083
63,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,2018-10-03 16:59:00,2018,10,42.37332105,-71.0390455,31.25546308748894,34.622462879910024
64,LIQUOR - DRINKING IN PUBLIC,2018-10-03 17:33:00,2018,10,42.32863172,-71.08309899,31.75375626402657,34.788271438853606
65,INVESTIGATE PROPERTY,2018-10-03 17:27:00,2018,10,42.3465382,-71.09880598,31.630505682563808,34.59473431276392
66,VANDALISM,2018-10-03 16:25:00,2018,10,42.29472275,-71.07058534,31.00919218187625,34.86846949734863
67,LARCENY ALL OTHERS,2018-10-02 15:00:00,2018,10,42.33076942,-71.07766482,31.917175472384148,34.44377879239534
68,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-03 15:13:00,2018,10,42.31091044,-71.05767414,31.122708572491884,34.310244234746484
69,LARCENY ALL OTHERS,2018-06-04 09:00:00,2018,6,42.2871482,-71.06493039,31.52728468325348,34.87021470269813
70,INVESTIGATE PROPERTY,2018-06-04 09:00:00,2018,6,42.2871482,-71.06493039,31.097565308391875,34.52074184529453
71,INVESTIGATE PERSON,2018-10-03 15:50:00,2018,10,-1.0,-1.0,31.84521780453412,34.59515304495605
72,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-01 19:00:00,2018,10,42.34259153,-71.15581674,31.268044179880714,34.68235053123533
73,LARCENY SHOPLIFTING,2018-10-03 13:40:00,2018,10,42.35997967,-71.05474135,31.128262403643383,34.83870419936476
74,PROPERTY - LOST,2018-10-03 08:30:00,2018,10,42.34997636,-71.07242619,30.63828073506757,34.802091235339226
75,BURGLARY - RESIDENTIAL - FORCE,2018-10-03 11:30:00,2018,10,42.26615607,-71.10118143,31.805604323791755,34.50758586599362
76,AUTO THEFT,2018-10-03 08:00:00,2018,10,42.27615691,-71.09550303,31.99693048900417,34.78757437217278
77,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,2018-10-03 15:51:00,2018,10,42.33972732,-71.1086826,31.880358021615436,34.52864057409155
78,SUDDEN DEATH,2018-10-03 15:30:00,2018,10,42.32101722,-71.1161925,31.91444506410942,34.5141090423372
79,SICK/INJURED/MEDICAL - PERSON,2018-10-03 15:16:00,2018,10,42.33056977,-71.09959089,31.67212305627925,34.79244590523792
80,ASSAULT - AGGRAVATED - BATTERY,2018-10-03 16:24:00,2018,10,42.33382615,-71.08251021,31.3330700143496,34.32999901061339
81,LARCENY ALL OTHERS,2018-10-03 16:12:00,2018,10,42.33267791,-71.03733735,30.73046596792845,34.95305036071992
82,"DRUGS - POSS CLASS B - COCAINE, ETC.",2018-10-03 14:45:00,2018,10,42.37081805,-71.03929078,30.719947293158977,34.50792446053867
83,VIOL. OF RESTRAINING ORDER W NO ARREST,2018-10-03 15:00:00,2018,10,42.3523119,-71.0637051,30.743339861579404,34.885495470493154
84,LARCENY ALL OTHERS,2018-09-28 10:00:00,2018,9,42.35892279,-71.05835354,31.478472741382454,34.47089928576555
85,PROPERTY - FOUND,2018-10-03 16:37:00,2018,10,42.36179428,-71.0571127,31.143458515697795,34.84993459578763
86,INVESTIGATE PERSON,2018-10-03 15:54:00,2018,10,42.37679994,-71.05700887,31.93870479284933,34.88870990733018
87,MISSING PERSON,2018-10-02 22:00:00,2018,10,42.35321626,-71.05451958,31.32156986254865,34.470211768350836
88,SICK/INJURED/MEDICAL - PERSON,2018-10-03 15:49:00,2018,10,42.33506554,-71.07879088,31.97996131009374,34.3193336479287
89,HARASSMENT,2017-05-01 09:00:00,2017,5,42.35563262,-71.05264582,31.599285572373795,34.83354407139902
90,THREATS TO DO BODILY HARM,2017-05-01 09:00:00,2017,5,42.35563262,-71.05264582,30.785142204093432,34.34663991819053
91,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-03 16:00:00,2018,10,42.25469908,-71.14355299,30.874150278925512,34.83903690301508
92,PROPERTY - LOST,2018-09-24 16:23:00,2018,9,42.31342215,-71.09348975,30.784133734012936,34.55971367420491
93,VANDALISM,2018-10-02 11:00:00,2018,10,42.31847226,-71.08409289,31.48374275571518,34.65249651971102
94,HARASSMENT,2018-10-02 11:00:00,2018,10,42.31847226,-71.08409289,31.923824688743377,34.59579678853211
95,LARCENY ALL OTHERS,2018-10-03 14:31:00,2018,10,42.38134495,-71.03238071,31.18504792247969,34.65876627857933
96,ASSAULT SIMPLE - BATTERY,2018-10-03 14:31:00,2018,10,42.38134495,-71.03238071,31.135836664155377,34.864125192518756
97,MISSING PERSON,2018-10-03 14:20:00,2018,10,42.30209443,-71.06575183,31.05946726920708,34.37623905361087
98,DRUGS - SICK ASSIST - HEROIN,2018-10-03 15:09:00,2018,10,42.38630618,-71.00772965,31.192225933347434,34.40300368281617
99,SICK/INJURED/MEDICAL - PERSON,2018-10-03 14:15:00,2018,10,42.36025385,-71.06447113,31.50150528054067,34.776647227402194
100,FRAUD - CREDIT CARD / ATM FRAUD,2018-10-03 15:37:00,2018,10,42.38099773,-71.06210065,31.57220557780687,34.64809671574561
101,M/V ACCIDENT - OTHER,2018-10-03 15:34:00,2018,10,42.33050964,-71.08034174,31.766119966354616,34.42087531286488
102,WARRANT ARREST,2018-10-03 15:13:00,2018,10,42.33077484,-71.08061991,31.075741661886614,34.94204453355413
103,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,2018-10-03 14:55:00,2018,10,42.35254597,-71.05981712,31.29765299668489,34.54102839461696
104,PROPERTY - MISSING,2018-10-03 15:33:00,2018,10,42.33380683,-71.10377843,31.917865426432424,34.36051666358318
105,THREATS TO DO BODILY HARM,2018-10-03 14:26:00,2018,10,42.32138096,-71.0722009,31.04936583340656,34.85897906318979
