,formatted_address,google_place_id,input_string,latitude,longitude
0,"Kerem Shalom, Israel",ChIJYbENsimT_RQRRKPpPAAObOY,כרם שלום,31.228281,34.284559
1,"Or HaNer, Israel",ChIJLZKoVneEAhUR9hqUp_mN_gk,אור הנר,31.556196999999997,34.602305
2,"Erez, Israel",ChIJkdemMLiDAhUREdnIb1iQ5RM,ארז,31.55984,34.564889
3,"Kfar Aza, Israel",ChIJHZDiaGuAAhURKhblmQnfBp0,כפר עזה,31.483416,34.532291
4,"Sa'ad, Israel",ChIJ0SClRXSAAhURDwzFt58-Qrs,סעד,31.47018499999999,34.534356
5,"Be'eri, Israel",ChIJt1GvUpGA_RQR1jXFLfRTrsE,בארי,31.424513,34.492567
6,"Nir Oz, Israel",ChIJMcigPiGP_RQRF4ijsZQYuv8,ניר עוז,31.309696999999996,34.402075
7,"Nirim, Israel",ChIJcSOiGmmP_RQRxsGycN0j18I,נירים,31.33572999999999,34.394087
8,"Ein HaShlosha, Israel",ChIJG3biWfGF_RQRY-tAXW4ZkQw,עין השלושה,31.351722,34.403471
9,"Yad Mordechai, Israel",ChIJpS4KkQODAhURIDsOoJnXSX8,יד מרדכי,31.586963,34.5575
10,"Netiv HaAsara, Israel",ChIJGT38s0WCAhUR5NddCNuNya0,נתיב העשרה,31.572407000000002,34.539322
11,"Nahal Oz, Israel",ChIJ369MrASA_RQRJYNKPc4SgLY,נחל עוז,31.47267999999999,34.497675
12,"Alumim, Israel",ChIJKzV7UvN_AhUR7lHMETJEPZY,עלומים,31.453049,34.514711
13,"Kfar Maimon, Israel",ChIJOac1GqR_AhURf82IsBPEDvA,כפר מימון,31.431401,34.53718
14,"Shuva, Israel",ChIJX3Fq6c5_AhURY50RjbNQf8A,שובה,31.44995,34.545496
15,"Shokeda, Israel",ChIJKXDcnHF_AhURFfkw3bhj5YA,שוקדה,31.422098,34.524383
16,"Tushia, Israel",ChIJdWXsZKV_AhURhxMpT4o-WDk,תושיה,31.432895000000002,34.541314
17,"Tkuma, Israel",ChIJE0Cp1B5-AhURcsaYHaiUlGo,תקומה,31.448535999999997,34.578084999999994
18,"Zimrat, Israel",ChIJhYXmyMx_AhURdobPCB6MlgI,זמרת,31.447853000000002,34.552288
19,"Yizre'am Farm, Israel",ChIJC1-2-Dx-AhURmEPIpDOdSrA,חוות יזרעם,31.442963,34.571844
20,"Mavki'im, Israel",ChIJK6t2precAhUReHMjSYDaR1g,מבקיעים,31.622518,34.577431
21,"Talmei Yaffe, Israel",ChIJKx3mOESbAhURZ82wK1oRDH4,תלמי יפה,31.616857,34.612482
22,"Beit Shikma, Israel",ChIJQxDT7nCbAhUR98Bu0H2KCQo,בית שיקמה,31.637735,34.610074
23,"Bat Hadar, Israel",ChIJc2Yp_n-bAhURFYElLX42noU,בת הדר,31.648125,34.597146
24,"Ge'a, Israel",ChIJmWNSLWebAhURCNsBRQup-zg,גיאה,31.628466999999997,34.602678000000004
25,"Zikim, Israel",ChIJ22f5R5eCAhURRWN5IfelBDk,זיקים,31.607204,34.520967999999996
26,"Karmia, Israel",ChIJKSDIjOiCAhURGAlqPuKTToI,כרמיה,31.60269499999999,34.540413
27,"Kfar Silver, Israel",ChIJ0wswuOWbAhUR_aMl7YbymjI,כפר סילבר,31.675669,34.612311
28,"Mash'en, Israel",ChIJ-8TfZr6bAhURS7jkmDmdau8,משען,31.656885,34.621607
29,"Nir Yisrael, Israel",ChIJ3VBFSHSZAhURwmybCoYMctI,ניר ישראל,31.692156,34.638071000000004
30,"Ashkelon, Israel",ChIJc15oQVGcAhURD9ySMB0hcus,אשקלון,31.6687885,34.5742523
31,"Be'er Ganim, Israel",ChIJ15kZYEaZAhURLHEXEIY4GRY,באר גנים,31.700353999999997,34.610934
32,"Berekhya, Israel",ChIJya0he8ObAhURD89SjpIvvGw,ברכיה,31.66804699999999,34.624296
33,"Hodaya, Israel",ChIJWbuxyH-ZAhURfAQLGaGkSk0,הודיה,31.676356,34.639275
34,"Kibuts Galuyot St 27, Ashkelon, Israel",ChIJu-bnQFqcAhUR7rZJideKUCE,א.ת אשקלון,31.6644157,34.565553799999996
35,"Ami'oz, Israel",ChIJ7ewJuQ6M_RQRf9-1cuu4FXQ,עמיעוז,31.248463,34.413404
36,"Tzohar, Israel",ChIJ9_oCvoyL_RQR66SU1DeqV5Y,צוחר,31.237170000000003,34.426444000000004
37,"Sde Nitzan, Israel",ChIJmWd0PXiM_RQR-w1TS0xhFTw,שדה ניצן,31.230034999999997,34.418363
38,"Talmei Eliyahu, Israel",ChIJSY0jsY-L_RQRwZstWXX_Iw0,תלמי אליהו,31.229611,34.429114
39,,,אוהד,,
40,"Yesha, Israel",ChIJZ2pdghSM_RQRrybzzI_M2aY,ישע,31.247595,34.403090999999996
41,"Mivtahim, Israel",ChIJkUYEbW2M_RQRY6g_hIcgSFM,מבטחים,31.242423,34.407488
42,"Gan Yavne, Israel",ChIJQX6gY9y8AhURWQAyTCEavqM,גן יבנה,31.783056,34.703101000000004
43,"Hatsav, Israel",ChIJb9gQJhy8AhUR8x0fZAX1TkM,חצב,31.780095000000003,34.770571999999994
44,"Hatsor Ashdod, Israel",ChIJXbiuL_28AhUR6lVC6tmcgwY,חצור אשדוד,31.772744,34.719366
45,"כנות, Israel",ChIJ5-0DzYq7AhURqJWbbTOYeD0,כנות,31.8022065,34.75094139999999
46,"Neve Mivtah, Israel",ChIJZVP9g4i7AhUR0G6BocXs7WQ,נווה מבטח,31.806766999999997,34.741231
47,"Bitzaron, Israel",ChIJQUxmMoi8AhUR2CmEeB-rphs,ביצרון,31.7949517,34.729346299999996
48,"Bnei Ayish, Israel",ChIJTxdMWw68AhURb-TkcODRnZk,"בני עי""ש",31.790235,34.759291
49,"Gan HaDarom, Israel",ChIJkyhoqbu8AhUR4xKzSTrcvDI,גן הדרום,31.804056,34.699870000000004
50,"Ein Tzurim, Israel",ChIJty96HqaXAhURDoZRKDyQzZk,עין צורים,31.694936,34.718683
51,"Shafir, Israel",ChIJq1SYZq2XAhUR1Cuoqsc8XMQ,שפיר,31.697557,34.728181
52,"Merkaz Shapira, Israel",ChIJd-meeJ-XAhURh_4F6fgqq1o,מרכז שפירא,31.696927000000002,34.707319
53,"Masu'ot Itzhak, Israel",ChIJ12N_c4GXAhURgNrH2UHtnRc,משואות יצחק,31.702609999999996,34.689968
54,"Kiryat Malakhi, Israel",ChIJCTdn0I29AhURJQjYgjPeeyg,קרית מלאכי,31.730202000000002,34.746996
55,"Timorim, Israel",ChIJyeCQFB2WAhURwORu9TVjA80,תימורים,31.716336,34.761356
56,"Talmei Yehi'el, Israel",ChIJf3NyaNK9AhUR80KwkVH-nvU,תלמי יחיאל,31.753621000000003,34.764308
57,"Kfar HaRif, Israel",ChIJA1aTi2G-AhURopRemuy-v9A,"כפר הרי""ף",31.747028999999998,34.790928
58,"Kfar Warburg, Israel",ChIJbbMrvNKXAhURGuNlMBXa1J0,כפר ורבורג,31.718746999999997,34.72868
59,"Kfar Menahem, Israel",ChIJrfTHK6G_AhUR96S6iaBAIZk,כפר מנחם,31.732077,34.835079
60,"Arugot, Israel",ChIJW7gi0gq-AhURxzke7xA-ppU,ערוגות,31.732798,34.77624
61,"Be'er Tuvia, Israel",ChIJJwZZlnm9AhURahAgUgYbWas,באר טוביה,31.737127,34.725570000000005
62,"Yinon, Israel",ChIJ-S83C3q-AhURS0-8U4Bd-D8,ינון,31.741832000000002,34.780947
