day,month,year,hour,minute,place
26,08,14,19,15,כרם שלום
26,08,14,19,09,אור הנר
26,08,14,19,09,ארז
26,08,14,19,09,אור הנר
26,08,14,19,09,ארז
26,08,14,19,09,כפר עזה
26,08,14,19,09,סעד
26,08,14,19,09,כפר עזה
26,08,14,19,09,סעד
26,08,14,19,05,בארי
26,08,14,19,05,בארי
26,08,14,19,05,ניר עוז
26,08,14,19,05,נירים
26,08,14,19,05,עין השלושה
26,08,14,19,05,נירים
26,08,14,19,05,עין השלושה
26,08,14,19,05,יד מרדכי
26,08,14,19,05,נתיב העשרה
26,08,14,19,05,ניר עוז
26,08,14,19,04,נתיב העשרה
26,08,14,19,04,יד מרדכי
26,08,14,19,02,נחל עוז
26,08,14,19,02,עלומים
26,08,14,19,02,כפר עזה
26,08,14,19,02,סעד
26,08,14,19,02,כפר מימון
26,08,14,19,02,שובה
26,08,14,19,02,שוקדה
26,08,14,19,02,תושיה
26,08,14,19,02,תקומה
26,08,14,19,02,זמרת
26,08,14,19,02,חוות יזרעם
26,08,14,18,59,מבקיעים
26,08,14,18,59,תלמי יפה
26,08,14,18,59,בית שיקמה
26,08,14,18,59,בת הדר
26,08,14,18,59,גיאה
26,08,14,18,59,זיקים
26,08,14,18,59,כרמיה
26,08,14,18,59,כפר סילבר
26,08,14,18,59,משען
26,08,14,18,59,ניר ישראל
26,08,14,18,59,אשקלון
26,08,14,18,59,באר גנים
26,08,14,18,59,ברכיה
26,08,14,18,59,הודיה
26,08,14,18,59,תלמי יפה
26,08,14,18,59,בת הדר
26,08,14,18,59,גיאה
26,08,14,18,59,מבקיעים
26,08,14,18,59,משען
26,08,14,18,59,ניר ישראל
26,08,14,18,59,בית שיקמה
26,08,14,18,59,ברכיה
26,08,14,18,59,הודיה
26,08,14,18,59,כפר סילבר
26,08,14,18,58,אשקלון
26,08,14,18,58,באר גנים
26,08,14,18,58,א.ת אשקלון
26,08,14,18,58,א.ת אשקלון
26,08,14,18,58,אשקלון
26,08,14,18,58,באר גנים
26,08,14,18,58,כרמיה
26,08,14,18,58,א.ת אשקלון
26,08,14,18,58,אשקלון
26,08,14,18,58,באר גנים
26,08,14,18,58,זיקים
26,08,14,18,58,א.ת אשקלון
26,08,14,18,58,זיקים
26,08,14,18,58,כרמיה
26,08,14,18,57,עמיעוז
26,08,14,18,57,צוחר
26,08,14,18,57,שדה ניצן
26,08,14,18,57,תלמי אליהו
26,08,14,18,57,אוהד
26,08,14,18,57,ישע
26,08,14,18,57,מבטחים
26,08,14,18,56,גן יבנה
26,08,14,18,56,חצב
26,08,14,18,56,חצור אשדוד
26,08,14,18,56,כנות
26,08,14,18,56,נווה מבטח
26,08,14,18,56,ביצרון
26,08,14,18,56,בני עי"ש
26,08,14,18,56,גן הדרום
26,08,14,18,56,עין צורים
26,08,14,18,56,שפיר
26,08,14,18,56,נווה מבטח
26,08,14,18,56,מרכז שפירא
26,08,14,18,56,משואות יצחק
26,08,14,18,56,חצב
26,08,14,18,56,חצור אשדוד
26,08,14,18,56,כנות
26,08,14,18,56,ביצרון
26,08,14,18,56,בני עי"ש
26,08,14,18,56,גן הדרום
26,08,14,18,56,גן יבנה
26,08,14,18,55,עין צורים
26,08,14,18,55,שפיר
26,08,14,18,55,חצור אשדוד
26,08,14,18,55,כנות
26,08,14,18,55,נווה מבטח
26,08,14,18,55,מרכז שפירא
26,08,14,18,55,משואות יצחק
26,08,14,18,55,ביצרון
26,08,14,18,55,בני עי"ש
26,08,14,18,55,גן הדרום
26,08,14,18,55,גן יבנה
26,08,14,18,55,חצב
26,08,14,18,55,קרית מלאכי
26,08,14,18,55,תימורים
26,08,14,18,55,תלמי יחיאל
26,08,14,18,55,כפר הרי"ף
26,08,14,18,55,כפר ורבורג
26,08,14,18,55,כפר מנחם
26,08,14,18,55,ערוגות
26,08,14,18,55,באר טוביה
26,08,14,18,55,ינון
26,08,14,18,55,כפר אחים
26,08,14,18,55,אביגדור
26,08,14,18,55,אורות
26,08,14,18,55,אחווה
26,08,14,18,55,אל עזי
26,08,14,18,55,חצור אשדוד
26,08,14,18,55,כנות
26,08,14,18,55,נווה מבטח
26,08,14,18,55,גן הדרום
26,08,14,18,55,גן יבנה
26,08,14,18,55,חצב
26,08,14,18,55,קרית מלאכי
26,08,14,18,55,תימורים
26,08,14,18,55,תלמי יחיאל
26,08,14,18,55,ביצרון
26,08,14,18,55,בני עי"ש
26,08,14,18,55,ינון
26,08,14,18,55,כפר אחים
26,08,14,18,55,כפר הרי"ף
26,08,14,18,55,כפר ורבורג
26,08,14,18,55,כפר מנחם
26,08,14,18,55,ערוגות
26,08,14,18,55,אל עזי
26,08,14,18,55,באר טוביה
26,08,14,18,55,אביגדור
